title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src
Santa Claus,PG,107,6.2,,"Adventure, Family, Fantasy",1985,The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,Jeannot Szwarc,"Dudley Moore, John Lithgow, David Huddleston, Burgess Meredith, ","15,236",$23.72M,"https://m.media-amazon.com/images/M/MV5BZDc1OGVkMmQtYTU0NC00ZTc4LWIyNjItM2IzYzcwNTA1ZmJmXkEyXkFqcGdeQXVyMjY3MjUzNDk@._V1_UY209_CR0,0,140,209_AL_.jpg"
Love Hard,TV-MA,104,6.3,42,"Comedy, Romance",2021,"An LA girl, unlucky in love, falls for an East Coast guy on a dating app and decides to surprise him for the holidays, only to discover that she's been catfished. This lighthearted romantic comedy chronicles her attempt to reel in love.",Hernán Jiménez,"Nina Dobrev, Jimmy O. Yang, Darren Barnet, James Saito, ","59,820",,"https://m.media-amazon.com/images/M/MV5BODIwNDIxN2YtMWU3ZS00MjU5LWIxMzctNmY1NDg5NDgwYmM0XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Arthur Christmas,PG,97,7.1,69,"Animation, Adventure, Comedy",2011,Santa's clumsy son Arthur sets out on a mission with Grandsanta to give out a misplaced present to a young girl in less than two hours on Christmas Day.,Sarah Smith,"Barry Cook, James McAvoy, Jim Broadbent, Bill Nighy, Hugh Laurie, ","65,517",$46.46M,"https://m.media-amazon.com/images/M/MV5BNTczMjMwMTE2OV5BMl5BanBnXkFtZTcwNDU0NTAwNw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
Santa Claus Is Comin' to Town,TV-G,48,7.7,,"Animation, Adventure, Comedy",1970,A mailman reveals the origin of Santa Claus.,Jules Bass,"Arthur Rankin Jr., Fred Astaire, Mickey Rooney, Keenan Wynn, Paul Frees, ","16,973",,"https://m.media-amazon.com/images/M/MV5BMTc2NjMxMTU2Ml5BMl5BanBnXkFtZTcwNjg4NTYyMQ@@._V1_UY209_CR2,0,140,209_AL_.jpg"
A Merry Scottish Christmas,TV-G,84,6.6,,"Comedy, Drama, Romance",2023,Follows estranged siblings Lindsay and Brad as they travel to Scotland at Christmas to reunite with their mother Jo.,Dustin Rikert,"Lacey Chabert, Scott Wolf, James Robinson, Kellie Blaise, ","1,437",,"https://m.media-amazon.com/images/M/MV5BZWE5YzBlZTgtYjA5MC00MGI5LWI2YjctYzljOTQyNWI3ZDUyXkEyXkFqcGdeQXVyMjkwMjY1MjI@._V1_UX140_CR0,0,140,209_AL_.jpg"
Happiest Season,PG-13,102,6.6,69,"Comedy, Romance",2020,"A holiday romantic comedy that captures the range of emotions tied to wanting your family's acceptance, being true to yourself, and trying not to ruin Christmas.",Clea DuVall,"Kristen Stewart, Mackenzie Davis, Mary Steenburgen, Victor Garber, ","45,966",,"https://m.media-amazon.com/images/M/MV5BZDgyZDNiZGEtYmQ4NC00NzU5LTllODQtNjIwMGY2NDYyNGQwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY209_CR0,0,140,209_AL_.jpg"
The Man Who Invented Christmas,PG,104,7,60,"Biography, Comedy, Drama",2017,"The journey that led to Charles Dickens' creation of ""A Christmas Carol,"" a timeless tale that would redefine Christmas.",Bharat Nalluri,"Dan Stevens, Mark Schrier, Patrick Joseph Byrnes, Miriam Margolyes, ","18,405",$5.68M,"https://m.media-amazon.com/images/M/MV5BZDRjZWZlNjAtYjM1ZS00ZjAyLWE4MmEtNWVmNzZiNTYzOThjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY209_CR0,0,140,209_AL_.jpg"
The Christmas Chronicles: Part Two,PG,112,6,51,"Adventure, Comedy, Family",2020,"Kate Pierce, now a cynical teen, is unexpectedly reunited with Santa Claus when a mysterious troublemaker threatens to cancel Christmas--forever.",Chris Columbus,"Kurt Russell, Goldie Hawn, Darby Camp, Julian Dennison, ","34,558",,"https://m.media-amazon.com/images/M/MV5BMGJiZDc1OWMtNzMwMC00NzM0LTljMDgtZGJjODVhZDMzMmJjXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UY209_CR0,0,140,209_AL_.jpg"
8-Bit Christmas,PG,97,6.7,66,"Comedy, Family",2021,"In 1980s Chicago, a 10-year-old sets out on a quest to get the Christmas gift of his generation: the latest and greatest video-game system.",Michael Dowse,"Winslow Fegley, Neil Patrick Harris, Steve Zahn, June Diane Raphael, ","20,689",,"https://m.media-amazon.com/images/M/MV5BNDFkMDMxN2MtOThlZi00OWExLWFlMGMtYzI3NjhhNzFlODkzXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_UY209_CR0,0,140,209_AL_.jpg"
A Christmas Carol,TV-PG,86,8.1,,"Drama, Family, Fantasy",1951,"Ebenezer Scrooge, a curmudgeonly, miserly businessman, has no time for sentimentality and largely views Christmas as a waste of time. However, this Christmas Eve, he will be visited by three spirits who will show him the error of his ways.",Brian Desmond Hurst,"Alastair Sim, Jack Warner, Kathleen Harrison, Mervyn Johns, ","24,985",,"https://m.media-amazon.com/images/M/MV5BZTM0MWMyYzgtMTJiMS00MjNiLWJhN2EtOGRiYmRkMGEwMzkwXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Nutcracker and the Four Realms,PG,99,5.6,39,"Adventure, Family, Fantasy",2018,A young girl is transported into a magical world of gingerbread soldiers and an army of mice.,Lasse Hallström,"Joe Johnston, Mackenzie Foy, Keira Knightley, Morgan Freeman, Helen Mirren, ","36,570",$54.86M,"https://m.media-amazon.com/images/M/MV5BOTg1NDI1MjEyMl5BMl5BanBnXkFtZTgwOTA5MTgwNjM@._V1_UY209_CR0,0,140,209_AL_.jpg"
