title,rating,runtime,imdb_rating,meta_score,genre,release_year,description,director,stars,votes,gross,img_src
Santa's Boots,TV-PG,85,6.2,,"Comedy, Drama, Romance",2018,"Forced to take a vacation from her job in Seattle, Holly returns to her hometown where she reluctantly agrees to become Santa's new elf at her dad's local department store.",Shawn Tolleson,"Megan Hilty, Noah Mills, Roark Critchlow, Patricia Isaac, ",722,,"https://m.media-amazon.com/images/M/MV5BNTdmNmNmZjktMGVjYy00MzM4LWIyZGQtNjNhZGJkY2U3ZjZlXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
When Christmas Was Young,PG,87,6.1,,"Comedy, Romance",2022,A successful music manager returns home to secure the rights to a Christmas love song written by his high school girlfriend.,Monika Mitchell,"Karen David, Tyler Hilton, Jayce Barreiro, Meghan Heffern, ",388,,"https://m.media-amazon.com/images/M/MV5BODQzYzVjZWQtYTEyMi00MzE3LWFmNmUtNGY5M2IwYjgxMDg0XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas in Harmony,TV-G,84,5.5,,"Drama, Romance",2021,"Harmony is tricked into auditioning for the Holiday Chorus- directed by an ex-boyfriend. By Christmas Eve, they could be harmonizing in the key of love.",Rusty Cundieff,"Ashleigh Murray, Luke James, Basil Wallace, Michelle Williams, ",738,,"https://m.media-amazon.com/images/M/MV5BZGFjZWM3MTQtNDljMC00NDY3LTkyMzYtYTM2YjU4NTI3Yzc3XkEyXkFqcGdeQXVyMjIzOTA2NDk@._V1_UX140_CR0,0,140,209_AL_.jpg"
Swept Up by Christmas,TV-G,84,6.2,,"Comedy, Drama, Romance",2019,"An antique seller and a cleaner clash over how to downsize a magnificent estate right before Christmas. As the two uncover the house's treasures, they find a way to reconnect the reclusive owner with his own Christmases past.",Philippe Gagnon,"Lindy Booth, Justin Bruening, Vlasta Vrana, Susan Bain, ",971,,"https://m.media-amazon.com/images/M/MV5BY2E1MTY3NmEtNThkNC00M2FlLWJiZTEtMTU4MGZlZTRjMTQxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Jingle Belle,TV-PG,86,5.9,,"Drama, Music, Romance",2018,A successful jingle writer is cajoled into returning to her hometown to write a song for the 50th anniversary of the annual Christmas Eve concert.,Peter Sullivan,"Tatyana Ali, Cornelius Smith Jr., Loretta Devine, Keshia Knight Pulliam, ",593,,"https://m.media-amazon.com/images/M/MV5BOGQ2MjZkNjYtNWIxYy00Y2VhLWEyZTEtOWY2MzgxZTNjMzNiXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UY209_CR10,0,140,209_AL_.jpg"
A Christmas in Royal Fashion,TV-PG,90,5.4,,Romance,2018,Handsome prince and fashion assistant fall in love amidst a Christmas fashion show.,Fred Olen Ray,"Cindy Busby, Diarmaid Murtagh, Adam Levy, Michael Paré, ",808,,"https://m.media-amazon.com/images/M/MV5BMWE4OGZmZmUtNjEwYi00MDU3LWFlZGQtMGQyMTE2M2NmOWMwXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Santa Stakeout,TV-G,84,6.4,,"Comedy, Crime, Drama",2021,"Police detective Tanya is partnered with fellow detective Ryan to solve a recent string of heists. They go undercover as newlyweds, moving into the vacant house next to Mr. Miller, the prime suspect in the case.",Peter Benson,"Tamera Mowry-Housley, Paul Campbell, Joe Pantoliano, Peter Bryant, ","1,218",,"https://m.media-amazon.com/images/M/MV5BYWUwMDI4NzgtMjFhMy00ZDM0LWIxMTctYmM5YzE2NWMyNDMzXkEyXkFqcGdeQXVyNjEwOTQ0OTY@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Christmas Proposal,PG,84,4.6,,"Comedy, Drama, Romance",2008,Two lawyers dueling over a proposal to turn a quaint mountain town into a ski resort discover that they are former childhood sweethearts. Lisa is fighting to protect the hamlet; big-city ...                See full summary »,Michael Feifer,"Nicole Eggert, David O'Donnell, Tom Arnold, David DeLuise, ",606,,"https://m.media-amazon.com/images/M/MV5BMTM2MDcyMTk5Ml5BMl5BanBnXkFtZTcwNzMzMDMyMw@@._V1_UY209_CR14,0,140,209_AL_.jpg"
The Christmas Listing,TV-PG,84,5.2,,"Drama, Romance",2020,Two realtors compete for the same listing and have to spend time together at an Inn during Christmas.,Elizabeth Snoderly,"Lexi Giovagnoli, Travis Burns, Greg Evigan, Rachel O'Connell, ",591,,"https://m.media-amazon.com/images/M/MV5BMzllMTJjOTgtMWM5Mi00NTQzLWIwMjUtYmY4MmUxYjVlZTk0XkEyXkFqcGdeQXVyMjc2MDE1MzQ@._V1_UY209_CR0,0,140,209_AL_.jpg"
Mr. Miracle,TV-G,86,5.3,,"Comedy, Drama, Family",2014,"A Guardian Angel, posing as an English teacher, helps a young woman find her way before Christmas.",Carl Bessai,"Rob Morrow, Michelle Harrison, Britt Irvin, Sarah-Jane Redmond, ",603,,"https://m.media-amazon.com/images/M/MV5BMTgyNjE1Njc4Ml5BMl5BanBnXkFtZTgwODc1ODkzNzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Date by Christmas Eve,TV-PG,93,5.8,,"Comedy, Drama, Fantasy",2019,"After her brilliant idea for a new dating app is stolen by a workplace rival, Chelsea's fortunes take a turn for the better following a Christmas wish upon a shooting star.",Jake Helgren,"Vanessa Lengies, Evan Williams, Katherine Bailess, Julie McNiven, ",616,,"https://m.media-amazon.com/images/M/MV5BOTdiNjJjOGMtNmNkNC00Yzc2LWExYzQtZGQwZWVkZjdkYjExXkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UY209_CR0,0,140,209_AL_.jpg"
My Christmas Dream,TV-G,82,6.2,,"Comedy, Romance",2016,"An ambitious store manager of a renowned retail flagship store must enlist the help of a struggling, single-father handyman to help her realize her dream of managing the company's first international store.",James Head,"Danica McKellar, David Haydn-Jones, Christine Lee, Deidre Hall, ","2,113",,"https://m.media-amazon.com/images/M/MV5BYjQxMWExYjAtOThmNC00MTE2LTg4OTMtZGNiNTdkMWYyNGJlXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
Winnie the Pooh: Seasons of Giving,G,70,6.7,,"Animation, Adventure, Comedy",1999,Join Pooh and his friends in three stories about the seasons.,Jun Falkenstein,"Karl Geurs, Gary Katona, Ed Wexler, Gregg Berger, Brady Bluhm, Jim Cummings, Scott Dreier, ","1,614",,"https://m.media-amazon.com/images/M/MV5BMTkxNzEwNTIxMl5BMl5BanBnXkFtZTgwMDg1NTAwNzE@._V1_UY209_CR8,0,140,209_AL_.jpg"
Dear Secret Santa,PG,88,6.1,,"Comedy, Family, Romance",2013,"Jennifer begins exchanging letters with a secret admirer from her past. Now that she has a second chance at love, will she be able to take it?",Peter Sullivan,"Tatyana Ali, Bill Cobbs, Jordin Sparks, Ernie Hudson, ",809,,"https://m.media-amazon.com/images/M/MV5BMTg4Njk3MTI4Ml5BMl5BanBnXkFtZTgwNDA5NjMzMTE@._V1_UY209_CR2,0,140,209_AL_.jpg"
Christmas in the Clouds,PG,96,6.4,56,"Comedy, Family, Romance",2001,"During the holidays at a ski resort in Utah run by a Native American tribe, the overworked manager and a widowed woman from the big city overcome mistaken identities and intrusive guests in their pursuit of romance.",Kate Montgomery,"Timothy Vahle, Sam Vlahos, Mariana Tosca, M. Emmet Walsh, ",872,,"https://m.media-amazon.com/images/M/MV5BMTkxODQ0MzgyOF5BMl5BanBnXkFtZTcwMTU1OTczMQ@@._V1_UY209_CR1,0,140,209_AL_.jpg"
The Christmas Spirit,TV-G,84,5.8,,"Comedy, Drama, Romance",2013,"A women lands in a coma but realizes her spirit is awake, so she tries to communicate with people in her town and convinces them to change their minds about pending real-estate development in their community.",Jack Angelo,"Nicollette Sheridan, Bart Johnson, Amanda Foreman, Samantha Hanratty, ","1,056",,"https://m.media-amazon.com/images/M/MV5BMTU5NDIwNDMwNF5BMl5BanBnXkFtZTgwMTA0MDk2MDE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Scavenger Hunt,TV-G,82,6.1,,"Comedy, Drama, Romance",2019,"When Belinda heads back to her hometown for the holidays, she teams up with her ex-boyfriend for the annual Christmas scavenger hunt and things get complicated.",Marita Grabiak,"Kim Shaw, Kevin McGarry, Tom Arnold, Kathryn Kohut, ","1,413",,"https://m.media-amazon.com/images/M/MV5BZmU5ZTQ2OGEtOGU2Zi00NTY0LWE4M2EtZWNkYjhkM2EzYTBhXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Ghosting: The Spirit of Christmas,TV-14,87,5.9,,"Comedy, Drama, Fantasy",2019,"Jess goes on the greatest first date of her life, but inadvertently ""ghosts"" Ben when she tragically dies in a car accident on the way home.",Theresa Bennett,"Aisha Dee, Kimiko Glenn, Kendrick Sampson, Jazz Raycole, ",623,,"https://m.media-amazon.com/images/M/MV5BOGUwYzk5MjUtY2IxMy00OTgzLWE1MzktZWZmYjcyYmM2YjQxXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UX140_CR0,0,140,209_AL_.jpg"
The National Tree,TV-G,88,5.9,,Drama,2009,A teenager has his Sitka Spruce tree chosen to be planted outside the White House as the new national Christmas Tree.,Graeme Campbell,"Andrew McCarthy, Evan Williams, Kari Matchett, Paula Brancati, ",626,,"https://m.media-amazon.com/images/M/MV5BMTczMDY3Nzk1OF5BMl5BanBnXkFtZTcwNjA4ODAwMw@@._V1_UY209_CR2,0,140,209_AL_.jpg"
Christmas in the Air,TV-G,84,6.2,,"Comedy, Romance",2017,"Struggling with his work-life balance, a widowed father-of-two enlists the help of a professional organizer for the holiday season.",Martin Wood,"Catherine Bell, Eric Close, Ken Tremblett, Malcolm Stewart, ","1,479",,"https://m.media-amazon.com/images/M/MV5BYjVlNWQ4YjAtOGE4Ny00MDg2LWE5NTYtZTZlYzZlYzZjOTFkXkEyXkFqcGdeQXVyNjI4ODg5MzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
An Evergreen Christmas,PG,98,5.8,,"Family, Music, Romance",2014,"Leaving her seemingly glamorous Hollywood life on hold, Evergreen Lee is forced to return to her small hometown of Balsam Falls, Tennessee and her family's once-thriving Christmas tree farm to attend her father's funeral.",Jeremy Culver,"Robert Loggia, Naomi Judd, Booboo Stewart, Charleene Closshey, ",487,,"https://m.media-amazon.com/images/M/MV5BMTU4Nzg3Mzk4OF5BMl5BanBnXkFtZTgwOTkxMjk4MjE@._V1_UY209_CR3,0,140,209_AL_.jpg"
The Christmas Hope,TV-PG,90,6.5,,Drama,2009,"When lives intertwine during Christmas, hope is the only unifying gift. After suffering a personal tragedy, a social worker throws herself into finding homes for children in need.",Norma Bailey,"Madeleine Stowe, James Remar, Ian Ziering, Tori Barban, ",833,,"https://m.media-amazon.com/images/M/MV5BMjA1OTQzMTkxOV5BMl5BanBnXkFtZTcwMjg1NzI5Mw@@._V1_UY209_CR4,0,140,209_AL_.jpg"
How to Ruin Christmas,TV-MA,50,6.4,,"Comedy, Drama",2020,Prodigal daughter Tumi goes home for the holidays and manages to ruin her sister's wedding plans. Now she must make things right before it's too late.,Thando Thabethe,"Dippy Padi, Saint Seseli, Nandi Nyembe, ",652,,"https://m.media-amazon.com/images/M/MV5BNzdiNWU2M2YtZTNhYi00YTk0LWJlOTctOGFlYmU5MjZmYTUwXkEyXkFqcGdeQXVyODE5NTc1MjM@._V1_UY209_CR0,0,140,209_AL_.jpg"
Chasing Christmas,PG,81,5.2,,"Comedy, Fantasy",2005,"In a world where the holidays are run by the efficient Bureau of Yuletide Affairs, a bitter and burned-out Ghost of Christmas Past decides to go AWOL while on a ""mission"" and leave his ""target"" stranded in 1965.",Ron Oliver,"Tom Arnold, Andrea Roth, Leslie Jordan, Brittney Wilson, ",895,,"https://m.media-amazon.com/images/M/MV5BZTVjYTdkMzAtNDMyYi00OWViLThiYTEtOTc2N2VlODlhOTMyXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UY209_CR8,0,140,209_AL_.jpg"
A Christmas Dance Reunion,TV-PG,87,6.1,,"Drama, Romance",2021,"Successful attorney Lucy is reunited with her childhood Christmas dance partner, Barrett. As the pair give the resort a new lease of life, the passion between them heats up.",Brian Herzlinger,"Corbin Bleu, Monique Coleman, Roy Lewis, Kim Roberts, ",467,,"https://m.media-amazon.com/images/M/MV5BZjgwNWZhMzEtZDJkMy00MTA4LWI1YjctMTkwMGM4OWM0NmI1XkEyXkFqcGdeQXVyNjI4Mzg5OTg@._V1_UY209_CR2,0,140,209_AL_.jpg"
A Christmas Arrangement,TV-14,90,5.4,,"Comedy, Romance",2018,"A flower shop owner enters the local Holiday Floral Show in an effort to win a cash prize to help keep her struggling business afloat, but she starts to fall for one of her direct competitors.",Jake Helgren,"Nicky Whelan, Miles Fisher, Daphne Zuniga, Julie McNiven, ",614,,"https://m.media-amazon.com/images/M/MV5BNDQxNzYwNmUtNTJjMy00Y2ZlLWIyY2MtZjMwZjhkOTEyOTEzXkEyXkFqcGdeQXVyMTQyODAxMw@@._V1_UY209_CR11,0,140,209_AL_.jpg"
Christmas All Over Again,PG,78,3.7,,"Comedy, Family",2016,"A mischievous, swag-obsessed boy must overcome his inner Scrooge, or remain caught in a cycle where everyday is a Christmas without presents.",Christy Carlson Romano,"Sean Ryan Fox, Armani Jackson, Christy Carlson Romano, Amber Frank, ",314,,"https://m.media-amazon.com/images/M/MV5BZWJkN2YyOTktYjQ2NC00NDZmLWI1NTEtOWY1MmU3MGNjMTAwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MTI0MDc@._V1_UX140_CR0,0,140,209_AL_.jpg"
Jingle Around the Clock,TV-G,90,6.5,,"Comedy, Romance",2018,"Elle's plans for Christmas reunion are thwarted by work. In order to get a career-altering promotion she's forced to team up with advertising campaign 'fixer' Max, who has a completely different take on the Holidays.",Paul Ziller,"Brooke Nevin, Michael Cassidy, Jeremy Guilbaut, Andrea Brooks, ","1,528",,"https://m.media-amazon.com/images/M/MV5BYWRmNzA0MDMtZWZmMi00NzY5LTg5OWYtYjc3OWZhYzExNzdhXkEyXkFqcGdeQXVyNjk2Mjc2OTI@._V1_UX140_CR0,0,140,209_AL_.jpg"
Homemade Christmas,TV-PG,85,5.8,,"Comedy, Drama, Romance",2020,"Megan uses the weeks leading up to every Christmas to help around with any Christmas-related tasks. When the opportunity arrives to save a Christmas party and dazzle her crush, she must choose between the man of her dreams and Mr. Right.",Adrian Langley,"Michelle Argyris, Travis Nelson, Marcello Di Fruscia, Tiara Johnny, ",706,,"https://m.media-amazon.com/images/M/MV5BMDdhNWZjNjctZWNlMS00MmY3LTk4NzQtNGRmOGFkNzVmNTVmXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY209_CR2,0,140,209_AL_.jpg"
The Christmas Temp,TV-PG,87,5.5,,"Comedy, Romance",2019,"An out-of-work artist discovers a special Christmas temp agency that matches her with a handful of festive jobs, but falls into a creative rut while juggling holiday preparations and feelings for the agency's HR manager.",Bill Corcoran,"Sara Canning, Robin Dunne, Farrah Aviva, Julian Richings, ",471,,"https://m.media-amazon.com/images/M/MV5BYzgzODk2MGEtNDBiYS00ZmI0LTg1ZDQtZDViNzEwNmQzZDI1XkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg"
Christmas Harmony,TV-PG,85,6.3,,"Comedy, Drama, Music",2018,"A successful songwriter returns to her small hometown to rediscover music, family bonds and the magic of the Christmas season.",Nanea Miyata,"Kelley Jakle, Adam Mayfield, Peter Porte, Aden Schwartz, ",766,,"https://m.media-amazon.com/images/M/MV5BMTkwNTQ4NTUtOTBlYi00ZGEwLWJkMTYtM2NlMzVlNGQ3N2FmXkEyXkFqcGdeQXVyOTA5MjY3ODM@._V1_UY209_CR5,0,140,209_AL_.jpg"
Christmas Belles,TV-14,85,6.1,,Comedy,2019,"Despite being successful in their careers, two 30-something BFFs never stop hearing that they both need a man before it's too late. When a handsome pastor arrives just in time to kick off ...                See full summary »",Terri J. Vaughn,"Raven Goodwin, DomiNque Perry, Omar Gooding, Mark Taylor, ",170,,"https://m.media-amazon.com/images/M/MV5BNjFhZTNjZjYtMjY2YS00Njc4LTk5NDYtOTlkMWU3YmI5ZjViXkEyXkFqcGdeQXVyMDk4MjU3NA@@._V1_UY209_CR3,0,140,209_AL_.jpg"
Sound of Christmas,TV-G,84,6.5,,"Drama, Music, Romance",2016,A piano teacher falls for a widower who's responsible for the impending closure of her music school.,Harvey Crossland,"Lindy Booth, Robin Dunne, Micah Kalisch, Kim Roberts, ","1,203",,"https://m.media-amazon.com/images/M/MV5BZjU3MTQyZTgtYjE5Zi00NmEyLTg1YjctNjliY2ZjNTcyZTdkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjAzMTcwODQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Best Christmas Party Ever,TV-G,84,6.3,,"Comedy, Drama, Romance",2014,A party planner is tasked with mentoring her boss's nephew who is set to take over the business.,John Bradshaw,"Torrey DeVitto, Steve Lund, Linda Thorson, Kalinka Petrie, ","2,048",,"https://m.media-amazon.com/images/M/MV5BZWUwOWJmOGItZmY1Zi00ZDliLTlhNjgtMzdhYzRhNmE2NGIwXkEyXkFqcGdeQXVyNjg5MzE4NTA@._V1_UX140_CR0,0,140,209_AL_.jpg"
All I Want Is Christmas,TV-PG,100,5.4,,"Comedy, Family",2012,"A Christmas obsessed Jewish boy on his way to sunny Florida figures out how to get the Christmas of his dreams by trading airline tickets and places with another boy on his way to snowy Christmastown, WA.",Sue Corcoran,"Elliott Gould, David DeLuise, Elijah Nelson, Justin Thomas Howell, ",592,,"https://m.media-amazon.com/images/M/MV5BNDQ0OTYyNjA0N15BMl5BanBnXkFtZTgwOTk3NjkzMDE@._V1_UY209_CR1,0,140,209_AL_.jpg"
A Twist of Christmas,TV-PG,87,6.4,,"Family, Romance",2018,"In the shopping frenzy before Christmas at a busy department store, two single parents are each left with the wrong gifts for their respective children after their bags get accidentally switched.",David Winning,"Vanessa Lachey, Brendon Zub, Rick Fox, Christian Convery, ",980,,"https://m.media-amazon.com/images/M/MV5BZTJiZmE4YTQtOWM1Mi00Yjk2LTkwMjMtZmNjMThlMDFhYTkzXkEyXkFqcGdeQXVyODY0NzcxNw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Hotel,TV-G,88,6,,"Comedy, Drama, Romance",2019,"A big city hotel manager learns that her hopes for a promotion are based on a return to her hometown to restructure a local establishment, which the townspeople are less than thrilled about.",Marla Sokoloff,"Tatyana Ali, Sean Patrick Thomas, Sheryl Lee Ralph, Erika Walter, ",516,,"https://m.media-amazon.com/images/M/MV5BNTJhNDEzNDUtNWEzZS00NzRlLTliMjMtNzQ5MmY1OThkOTUzXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg"
A Gingerbread Romance,TV-PG,90,5.5,,"Drama, Family, Romance",2018,"With Christmas just weeks away, the architecture firm Taylor works for enters her in a contest in which the teams will design and build life-sized gingerbread houses. After the contest, ...                See full summary »",Richard Gabai,"Tia Mowry, Duane Henry, Jordana Lajoie, Giles Panton, ",940,,"https://m.media-amazon.com/images/M/MV5BZTYyOTRhYTItYjgxYi00MDcyLTk1M2QtNjQzYzFlNzRmMGIwXkEyXkFqcGdeQXVyMjQ3NTEwMzE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Staging Christmas,TV-G,85,5.5,,"Drama, Family, Romance",2019,A home stager looking to land a promotion offers to plan the company Christmas party in order to sway the boss' decision her way.,Amy Barrett,"Soleil Moon Frye, George Stults, Jaleel White, Mia Clark, ",564,,"https://m.media-amazon.com/images/M/MV5BNjE2MTQ3NzUtMTY0My00MDVmLTk0MTctMzFmYmNjOWU5ZmZiXkEyXkFqcGdeQXVyMTU0NjY0NDg@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas in Canaan,TV-PG,96,6.9,,"Drama, Family",2009,"DJ and Rodney don't like each other from the start; Rodney thinks DJ is an ignorant white farm boy, and DJ thinks Rodney acts too smart for his own good. After a school-bus scuffle between ...                See full summary »",Neill Fearnley,"Billy Ray Cyrus, Tom Heaton, Jaishon Fisher, Zak Ludwig, ",628,,"https://m.media-amazon.com/images/M/MV5BMTI3NDk1MDY1NF5BMl5BanBnXkFtZTcwMTI4OTEyMw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
I'm Not Ready for Christmas,TV-G,84,6,,"Comedy, Drama, Family",2015,"Holly's world is turned upside down when her niece's wish to Santa Claus comes true and she cannot tell a lie. As her career and love life go into disarray, she must learn to judge between the truth and what is right.",Sam Irvin,"Alicia Witt, George Stults, Brigid Brannagh, Mia Bagley, ","2,132",,"https://m.media-amazon.com/images/M/MV5BMjI3NzUwMzI4OV5BMl5BanBnXkFtZTgwNjIwMTQ2ODE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Every Day Is Christmas,TV-PG,85,5.9,,"Drama, Fantasy, Romance",2018,"Ruthless businesswoman Alexis is visited by her deceased mother in a reimagining of ""A Christmas Carol"".",David Weaver,"Toni Braxton, Gloria Reuben, Michael Jai White, Andrew Airlie, ",567,,"https://m.media-amazon.com/images/M/MV5BNTc5NGE3ZTYtMzcwNy00ZjI1LTk1YTEtNzY5MWJjYzljMTNjXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY209_CR8,0,140,209_AL_.jpg"
48 Christmas Wishes,TV-G,84,3.9,,"Animation, Adventure, Comedy",2017,"For the first time ever, two junior Elves have to leave home after losing an entire town's letters to Santa. While attempting to blend into small town life, they set out to retrieve every missing wish before Christmas Eve.",Marco Deufemia,"Justin G. Dyck, Madeline Leon, Liam MacDonald, Clara Kushnir, Ethan Yang, ","1,242",,"https://m.media-amazon.com/images/M/MV5BMjI4ZDhlNzQtNjE3OC00YTdlLThiZWUtZmYzNzAwYmQzZDI3XkEyXkFqcGdeQXVyODA3NTIyMjM@._V1_UY209_CR0,0,140,209_AL_.jpg"
A Cheerful Christmas,TV-G,83,4.9,,"Drama, Romance",2019,A woman and her best friend think they landed the job of their dreams by giving people a great Christmas until they get a client who doesn't feel the same way.,Marita Grabiak,"Erica Deutschman, Chad Connell, Jennifer Vallance, Tianna Nori, ","1,098",,"https://m.media-amazon.com/images/M/MV5BNTAxODFmM2ItNjhmOS00OTVjLWI1YTgtMzk0NGU1Y2FmYzQwXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Ms. Scrooge,G,87,5.4,,"Drama, Fantasy",1997,"A retelling of Charles Dickens' ""A Christmas Carol.""",John Korty,"Cicely Tyson, Katherine Helmond, Michael Beach, John Bourgeois, ",452,,"https://m.media-amazon.com/images/M/MV5BOWY4ZmI2ZWEtOWNlNy00MDBmLTg5NmQtMTZiNjE0YzZjM2FiXkEyXkFqcGdeQXVyNjc5NjEzNA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Wish Upon a Christmas,PG-13,86,5.8,,"Drama, Fantasy, Romance",2015,A corporate actuary returns to her hometown to shut down a factory; the owner is her former high-school sweetheart--who thinks she has come to save it. Could a little Christmas magic save the day?,Terry Ingram,"Larisa Oleynik, Aaron Ashmore, Linda Darlow, Kevin McNulty, ",783,,"https://m.media-amazon.com/images/M/MV5BZTIwN2ZhNGYtMDQ4Mi00NDliLTk5OGMtMmExNjBmMDNhMzJkXkEyXkFqcGdeQXVyNzM3MjY2MjU@._V1_UX140_CR0,0,140,209_AL_.jpg"
The Christmas Pageant,TV-G,87,5.5,,"Comedy, Romance",2011,"When a temperamental Broadway director is fired from yet another job, she is forced to direct a community Christmas pageant.",David S. Cass Sr.,"Melissa Gilbert, Robert Mailhouse, Candice Azzara, Edward Herrmann, ",601,,"https://m.media-amazon.com/images/M/MV5BNTY2MWRlM2MtN2E5ZC00NmRmLWJiZWQtMmM3YTdjYmY0YjIzXkEyXkFqcGdeQXVyMTQ0MjgzODU@._V1_UY209_CR4,0,140,209_AL_.jpg"
Rediscovering Christmas,TV-G,87,5.8,,"Comedy, Drama, Romance",2019,Sparks fly when a Boston department store window designer travels to her family's Connecticut town to help design its annual Snowflake Festival Christmas Eve dance and must work with the festival founders' stubborn but devoted grandson.,Colin Theys,"Jessica Lowndes, B.J. Britt, Justine Cotsonas, David Naughton, ",475,,"https://m.media-amazon.com/images/M/MV5BNjM1YzQ3ZTQtZmI5Ny00YmY5LTkyOWEtNzZlZTE1ZjdlOWMwXkEyXkFqcGdeQXVyNTQ2NjI3NDQ@._V1_UX140_CR0,0,140,209_AL_.jpg"
Holiday Joy,PG,87,5.4,,"Comedy, Fantasy",2016,A shy high school student's Christmas wish comes true only it isn't exactly as wonderful as she'd hoped.,Kirk D'Amico,"Bailee Madison, Jennifer Robertson, Sandy Jobin-Bevans, French Stewart, ","1,020",,"https://m.media-amazon.com/images/M/MV5BZGNhMjBiZTQtYjE1OS00NGM0LWFjMTEtNTRhODUzOTFhZjUxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTM1Nzk4ODc@._V1_UY209_CR8,0,140,209_AL_.jpg"
Cover Up,TV-14,83,6.6,,"Film-Noir, Mystery",1949,"An insurance company investigator goes to a small town to probe into a case of supposed suicide. The natives are not very cooperative and some turn hostile, leading to suspicion of foul play.",Alfred E. Green,"William Bendix, Dennis O'Keefe, Barbara Britton, Art Baker, ","1,259",,"https://m.media-amazon.com/images/M/MV5BOTVkMTE4ZDQtZGY3OC00ZDEzLTkxODItZjFhNWUxZjQ3Y2JlXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_UX140_CR0,0,140,209_AL_.jpg"
Christmas Perfection,TV-PG,90,5.5,,"Comedy, Drama, Fantasy",2018,"Darcy's been striving for the perfect Christmas since childhood and, thanks to a magical figurine, her dream finally comes true.",David Jackson,"Caitlin Thompson, James Henri-Thomas, Robbie Silverman, Rachel-Mae Brady, ","1,020",,"https://m.media-amazon.com/images/M/MV5BMWFiYzFkY2MtN2RmMy00NTkwLWEyNjYtNjhkMDc2NWJlYmVlXkEyXkFqcGdeQXVyNDMyOTg5NTM@._V1_UY209_CR1,0,140,209_AL_.jpg"
Stealing Christmas,TV-PG,89,5.7,,"Comedy, Crime, Drama",2003,"A small-time crook intent on robbing a department store is mistaken as a Santa for-hire. At first, he decides to play along, but he gets caught up in the holiday spirit, and begins to have second thoughts about ""Stealing Christmas"".",Gregg Champion,"Tony Danza, Lea Thompson, Angela Goethals, Betty White, ",979,,"https://m.media-amazon.com/images/M/MV5BMTIzOTI1NTk5M15BMl5BanBnXkFtZTcwMjIyNTYyMQ@@._V1_UY209_CR4,0,140,209_AL_.jpg"
The Man Who Saved Christmas,TV-PG,100,6.5,,"Biography, Drama, Family",2002,A.C. Gilbert figures out a way to keep Christmas alive after the war threatens to take it away in his name.,Sturla Gunnarsson,"Jason Alexander, Kelly Rowan, Ari Cohen, C. David Johnson, ",553,,"https://m.media-amazon.com/images/M/MV5BOWRjZjRkYjItMmQ0MS00OGJiLTg5N2YtNTQ5NWZhZWJiYjQ1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_UY209_CR8,0,140,209_AL_.jpg"
